SawStep;cry_per_user;LRC;churn
400;1.3;0.25;0.003
401;2.8;0.53;0.003
402;4.5;0.73;0.002
403;2.9;0.55;0.002
404;4.2;0.73;0.01
405;2.1;0.38;0.007
406;2.3;0.52;0.012
407;3.6;0.63;0.01
410;1.9;0.4;0.005
414;3.6;0.65;0.007
416;3.1;0.51;0.005
417;4.3;0.76;0.005
418;3;0.58;0.007
419;1.9;0.35;0.002
420;3;0.64;0.002
421;1.9;0.38;0.01
422;4.5;0.76;0.002
423;1.6;0.32;0.005
424;3.9;0.77;0.01
425;1.7;0.33;0.005
427;0.9;0.21;0.005
428;3.3;0.67;0.008
429;1.6;0.37;0.005
431;1.5;0.36;0.003
432;2.8;0.51;0.005
433;3.4;0.67;0.008
434;1.4;0.23;0.003
435;2.7;0.53;0.005
436;4.2;0.74;0.003
437;1.8;0.32;0.003
438;3.1;0.63;0.003
439;1.6;0.39;0.008
442;1.5;0.35;0.005
443;3.4;0.63;0.003
444;1.4;0.34;0.003
445;4.1;0.75;0.008
446;3.3;0.65;0.003
448;4.1;0.8;0.005
449;2.4;0.56;0.003
450;1;0.25;0.005
451;3;0.61;0.003
452;4.2;0.76;0.008
454;3.2;0.63;0.003
455;1.6;0.38;0.003
456;2.6;0.51;0.005
457;3.6;0.65;0.008
458;4.3;0.75;0.003
459;2.5;0.47;0.003
460;1.7;0.36;0.003
461;3.6;0.76;0.005
462;3.3;0.65;0.005
463;2.4;0.52;0.003
468;1.8;0.35;0.005
471;3.9;0.74;0.01
473;1;0.22;0.008
474;4.5;0.75;0.01
475;2.3;0.55;0.003
476;3.6;0.66;0.003
478;4.5;0.74;0.008
479;2.2;0.5;0.003
480;3.5;0.6;0.008
481;2.6;0.56;0.003
482;1.8;0.37;0.005
483;4.3;0.72;0.005
484;2.5;0.5;0.013
485;3.5;0.59;0.005
488;4.4;0.77;0.003
489;3.7;0.66;0.005
490;1.6;0.36;0.008
491;4.7;0.76;0.003
492;2;0.34;0.005
494;3;0.53;0.008
495;4.1;0.69;0.011
496;4.6;0.75;0.003
498;3.4;0.63;0.005
502;2;0.51;0.003
503;1.6;0.4;0.003
504;2.5;0.54;0.011
505;4.5;0.74;0.011
506;1.8;0.37;0.006
507;4.2;0.66;0.014
509;2.9;0.51;0.003
510;4.3;0.72;0.006
511;1.7;0.33;0.003
512;3.4;0.63;0.006
513;1.9;0.31;0.006
514;4.8;0.75;0.003
517;2.3;0.59;0.011
518;4.7;0.76;0.003
519;1.8;0.35;0.003
520;3.6;0.67;0.006
521;1.5;0.34;0.003
522;3.7;0.61;0.003
525;2.4;0.52;0.003
526;3.9;0.77;0.006
529;3;0.51;0.006
531;1.5;0.34;0.006
532;3.6;0.59;0.006
533;4.5;0.72;0.006
534;1.6;0.39;0.006
536;2.5;0.48;0.008
537;1.3;0.24;0.003
538;2.7;0.58;0.003
539;2.4;0.55;0.006
540;4.3;0.74;0.011
541;1.9;0.34;0.003
542;3.6;0.64;0.006
543;4;0.74;0.006
544;1.7;0.32;0.006
545;3;0.62;0.003
546;1.2;0.27;0.009
548;4;0.75;0.006
549;1.8;0.36;0.003
550;3.4;0.59;0.003
551;1.6;0.34;0.003
554;3.7;0.67;0.003
556;3;0.62;0.008
558;4.4;0.74;0.006
559;2.6;0.51;0.003
561;2.6;0.5;0.006
562;3.3;0.67;0.006
564;4.4;0.73;0.003
565;3.6;0.66;0.006
566;2;0.34;0.003
568;2.3;0.5;0.003
571;2.6;0.55;0.006
573;3.6;0.63;0.003
575;4.5;0.76;0.003
576;2.9;0.51;0.003
578;2.5;0.51;0.003
579;3.9;0.76;0.008
580;3.5;0.64;0.006
581;1.7;0.36;0.003
582;3.5;0.63;0.008
583;1.8;0.37;0.003
584;4.6;0.72;0.003
585;3.1;0.49;0.003
586;1;0.27;0.003
587;2.8;0.48;0.006
590;2.7;0.57;0.003
594;2.1;0.36;0.009
595;3.7;0.76;0.006
596;2.1;0.41;0.003
598;1.2;0.23;0.003
599;2.9;0.49;0.003
600;4.1;0.73;0.012
601;2.3;0.55;0.006
603;1.8;0.3;0.006
605;1.3;0.23;0.003
606;2.9;0.52;0.003
607;3.9;0.72;0.006
610;3.4;0.61;0.003
612;3.8;0.66;0.006
613;1.8;0.39;0.006
614;3.4;0.66;0.012
615;2.5;0.47;0.006
616;4.5;0.73;0.003
618;1.6;0.39;0.006
620;1.1;0.25;0.003
622;3.9;0.68;0.003
624;2.7;0.59;0.003
625;1.1;0.22;0.003
626;2.4;0.51;0.003
627;4.5;0.75;0.003
629;3.3;0.67;0.003
630;2.6;0.5;0.003
631;1.2;0.25;0.003
636;3.2;0.54;0.006
639;2.5;0.54;0.009
640;1.6;0.38;0.003
641;3.2;0.71;0.003
643;4.3;0.76;0.003
644;1.8;0.36;0.003
645;2.3;0.59;0.003
646;1.1;0.2;0.003
647;3.8;0.65;0.003
648;2.6;0.5;0.006
650;1.8;0.38;0.006
651;3.9;0.66;0.006
652;3;0.5;0.003
653;1.3;0.21;0.003
655;1.6;0.37;0.003
656;3.8;0.66;0.006
657;2.7;0.53;0.003
659;3.5;0.54;0.006
660;1.1;0.2;0.003
661;3.4;0.63;0.003
663;2.7;0.55;0.006
664;3.9;0.72;0.003
665;3.2;0.5;0.006
666;3.7;0.7;0.003
670;3.1;0.5;0.006
676;3;0.53;0.006
677;4;0.72;0.006
678;2.9;0.5;0.003
679;1.2;0.24;0.006
684;2.3;0.54;0.003
685;0.8;0.2;0.003
686;2;0.4;0.003
688;1.8;0.38;0.006
689;3.8;0.76;0.006
692;4.2;0.62;0.009
694;3.6;0.65;0.003
695;3.8;0.76;0.003
696;0.9;0.25;0.003
698;2.1;0.4;0.006
699;2.7;0.58;0.003
705;3.6;0.66;0.003
707;2.4;0.59;0.006
708;4.1;0.78;0.006
709;2.1;0.54;0.003
710;3.2;0.68;0.003
713;1.7;0.39;0.003
714;3.1;0.69;0.003
715;2.7;0.54;0.003
718;1.9;0.38;0.003
719;2.8;0.67;0.003
721;1.3;0.28;0.003
723;4.1;0.74;0.009
724;1.7;0.4;0.003
725;4;0.66;0.009
727;2.1;0.38;0.003
728;1.2;0.23;0.006
729;3.2;0.66;0.006
731;3.6;0.63;0.006
733;0.5;0.22;0.003
