user_id,ab_group,ts,pdate
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:24:33.553327,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:32:23.215284,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:33:01.050395,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:36:18.233874,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:36:45.210274,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:36:54.251438,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:37:39.181624,2023-05-02
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02 12:37:57.761142,2023-05-02
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01 18:58:45.338597,2023-05-01
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01 19:01:05.548678,2023-05-01
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01 19:01:43.279678,2023-05-01
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01 19:02:17.228664,2023-05-01
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01 19:03:30.637472,2023-05-01
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01 19:04:19.203838,2023-05-01
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04 10:01:39.700496,2023-05-04
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04 10:02:25.331497,2023-05-04
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04 10:05:41.889035,2023-05-04
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04 10:05:52.770466,2023-05-04
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04 10:07:39.858666,2023-05-04
4BNABuYRf+8WAKmUYvZgPg==,A,2023-05-03 07:31:46.831712,2023-05-03
4BNABuYRf+8WAKmUYvZgPg==,A,2023-05-03 07:39:39.146694,2023-05-03
9HKAHegRBmoWAAqW6VfbPg==,A,2023-05-01 07:19:36.837991,2023-05-01
9HKAHegRBmoWAAqW6VfbPg==,A,2023-05-01 07:28:04.131532,2023-05-01
9HKAHegRBmoWAAqW6VfbPg==,A,2023-05-01 07:33:38.762664,2023-05-01
9HKAHegRBmoWAAqW6VfbPg==,A,2023-05-01 07:35:11.687785,2023-05-01
CNlROesRiq0WAKmf8XaTPg==,A,2023-05-01 13:33:03.091067,2023-05-01
CNlROesRiq0WAKmf8XaTPg==,A,2023-05-01 13:34:14.993136,2023-05-01
CNlROesRiq0WAKmf8XaTPg==,A,2023-05-01 13:50:05.085239,2023-05-01
CkIBDFQ8sF2Iz2v5A1dcAg==,A,2023-05-01 12:34:18.732048,2023-05-01
CkIBDFQ8sF2Iz2v5A1dcAg==,A,2023-05-01 12:39:56.669793,2023-05-01
CkZ42V1n/7iPSH2kBWNdAg==,A,2023-05-02 14:54:36.527473,2023-05-02
CkZ42V1n/7iPSH2kBWNdAg==,A,2023-05-02 15:16:38.799918,2023-05-02
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:42:34.934905,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:44:04.314811,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:50:24.396434,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:51:34.533631,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:53:24.906138,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:55:38.115384,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 19:57:50.448025,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 20:12:23.085768,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 20:14:09.441503,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 20:15:04.872479,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 20:22:33.697567,2023-05-03
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03 20:30:05.098207,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 09:35:14.179944,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 09:38:51.517338,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 09:39:44.880884,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 09:40:43.875152,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 09:41:05.727953,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 10:00:40.271087,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03 10:01:40.758004,2023-05-03
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-04 05:00:49.840320,2023-05-04
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-04 05:02:15.650890,2023-05-04
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-04 05:03:20.591581,2023-05-04
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-04 05:13:59.457697,2023-05-04
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-04 05:19:04.366970,2023-05-04
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:08:38.844971,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:09:36.843811,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:09:47.240991,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:17:33.859165,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:18:08.569238,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:18:42.634017,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:19:09.312832,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:20:08.393891,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:20:36.468430,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:21:21.594716,2023-05-03
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03 10:22:03.799355,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:40:24.186260,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:41:21.136220,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:42:34.741466,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:42:45.818715,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:44:43.263094,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:46:25.857937,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:46:41.694379,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:48:19.772887,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:48:42.795145,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:49:49.386288,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:50:19.720586,2023-05-03
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03 07:51:09.960622,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 01:53:23.289580,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 01:54:48.840566,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 01:56:42.819428,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 01:57:55.781230,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 01:58:17.775520,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 02:00:42.283704,2023-05-03
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03 02:01:17.881427,2023-05-03
