;date;campaign_id;ad_set_id;ad_id;cpm;ctr;spend;clicks;impressions;breakdown_set; breakdowns_old;platform;country_code
49;2021-01-01;23846848290730713;23846848290890713;23846848294200713;0.99159276;0.43191338;98.72;430;99557;{country};"{""country"": ""MX""}";android;MX
50;2021-01-01;23846848290730713;23846848290780713;23846848294100713;2.68790801;2.71905133;44.88;454;16697;{country};"{""country"": ""MX""}";android;MX
51;2021-01-01;23846848290440713;23846848290460713;23846848293760713;0.76764286;0.34746023;97.43;441;126921;{country};"{""country"": ""MX""}";android;MX
52;2021-01-01;23846848290440713;23846848290530713;23846848293520713;2.62166703;3.3465207;96.75;1235;36904;{country};"{""country"": ""MX""}";android;MX
287;2021-01-01;23847157133170369;23847157133180369;23847157133260369;12.11267606;0.70422535;1.72;1;142;{country};"{""country"": ""AU""}";android;AU
323;2021-01-01;23847157133130369;23847157133120369;23847157133250369;9.54545455;0.0;0.21;0;22;{country};"{""country"": ""MX""}";ios;MX
371;2021-01-01;23847157133130369;23847157133120369;23847157133250369;28.79310345;1.72413793;1.67;1;58;{country};"{""country"": ""AU""}";ios;AU
413;2021-01-01;23847157133130369;23847157133120369;23847157133240369;10.22222222;0.0;0.46;0;45;{country};"{""country"": ""MX""}";ios;MX
463;2021-01-01;23847157133130369;23847157133120369;23847157133230369;6.42857143;0.0;0.18;0;28;{country};"{""country"": ""MX""}";ios;MX
513;2021-01-01;23847157133130369;23847157133120369;23847157133230369;20.2027027;1.35135135;2.99;2;148;{country};"{""country"": ""AU""}";ios;AU
562;2021-01-01;23847157133130369;23847157133120369;23847157133220369;6.82352941;0.0;0.58;0;85;{country};"{""country"": ""MX""}";ios;MX
633;2021-01-01;23847157133130369;23847157133120369;23847157133220369;21.46596859;0.17452007;12.3;1;573;{country};"{""country"": ""AU""}";ios;AU
664;2021-01-01;23847157133130369;23847157133120369;23847157133240369;20.0;1.81818182;2.2;2;110;{country};"{""country"": ""AU""}";ios;AU
733;2021-01-01;23847157133170369;23847157133180369;23847157133140369;6.0;0.0;0.27;0;45;{country};"{""country"": ""RU""}";android;RU
807;2021-01-01;23847157133130369;23847157133120369;23847157133270369;10.37037037;0.0;0.28;0;27;{country};"{""country"": ""MX""}";ios;MX
856;2021-01-01;23847157133130369;23847157133120369;23847157133270369;10.48780488;0.0;0.86;0;82;{country};"{""country"": ""AU""}";ios;AU
880;2021-01-01;23847157133170369;23847157133180369;23847157133260369;2.68571429;0.57142857;0.47;1;175;{country};"{""country"": ""RU""}";android;RU
954;2021-01-01;23847157133170369;23847157133180369;23847157133190369;6.66666667;0.0;1.22;0;183;{country};"{""country"": ""RU""}";android;RU
1025;2021-01-01;23847157133170369;23847157133180369;23847157133190369;17.5;0.0;0.91;0;52;{country};"{""country"": ""AU""}";android;AU
1048;2021-01-01;23847157133170369;23847157133180369;23847157133160369;5.72815534;0.0;0.59;0;103;{country};"{""country"": ""RU""}";android;RU
1115;2021-01-01;23847157133170369;23847157133180369;23847157133160369;16.61764706;1.47058824;1.13;1;68;{country};"{""country"": ""AU""}";android;AU
1135;2021-01-01;23847157133170369;23847157133180369;23847157133150369;6.53846154;3.84615385;0.17;1;26;{country};"{""country"": ""RU""}";android;RU
1195;2021-01-01;23847157133170369;23847157133180369;23847157133150369;11.02040816;0.0;0.54;0;49;{country};"{""country"": ""AU""}";android;AU
1230;2021-01-01;23847156694480369;23847156694470369;23847156694510369;134.32432432;0.0;4.97;0;37;{country};"{""country"": ""AU""}";ios;AU
1247;2021-01-01;23847156694480369;23847156694470369;23847156694500369;40.0;0.0;0.04;0;1;{country};"{""country"": ""MX""}";ios;MX
1268;2021-01-01;23847156694480369;23847156694470369;23847156694500369;144.28571429;0.0;3.03;0;21;{country};"{""country"": ""AU""}";ios;AU
1284;2021-01-01;23847156694480369;23847156694470369;23847156694490369;20.0;0.0;0.02;0;1;{country};"{""country"": ""MX""}";ios;MX
1313;2021-01-01;23847156694480369;23847156694470369;23847156694490369;127.91666667;0.0;3.07;0;24;{country};"{""country"": ""AU""}";ios;AU
1332;2021-01-01;23847156694480369;23847156694470369;23847156694460369;27.5;0.0;0.11;0;4;{country};"{""country"": ""MX""}";ios;MX
1359;2021-01-01;23847156694480369;23847156694470369;23847156694460369;162.30769231;0.0;2.11;0;13;{country};"{""country"": ""AU""}";ios;AU
1377;2021-01-01;23847156694480369;23847156694470369;23847156694450369;20.0;0.0;0.02;0;1;{country};"{""country"": ""MX""}";ios;MX
1416;2021-01-01;23847156717270369;23847156717260369;23847156717320369;38.07692308;0.0;3.96;0;104;{country};"{""country"": ""AU""}";ios;AU
1431;2021-01-01;23847156694480369;23847156694470369;23847156694450369;75.90909091;0.0;1.67;0;22;{country};"{""country"": ""AU""}";ios;AU
1482;2021-01-01;23847156667670369;23847156667640369;23847156667710369;3.60655738;0.54644809;0.66;1;183;{country};"{""country"": ""MX""}";ios;MX
1581;2021-01-01;23847156667670369;23847156667640369;23847156667710369;17.9389313;0.0;2.35;0;131;{country};"{""country"": ""AU""}";ios;AU
1618;2021-01-01;23847157133170369;23847157133180369;23847157133140369;26.52173913;2.17391304;1.22;1;46;{country};"{""country"": ""AU""}";android;AU
1649;2021-01-01;23847156717270369;23847156717260369;23847156717330369;20.0;0.0;0.18;0;9;{country};"{""country"": ""MX""}";ios;MX
1683;2021-01-01;23847156717270369;23847156717260369;23847156717330369;39.29824561;0.0;2.24;0;57;{country};"{""country"": ""AU""}";ios;AU
1713;2021-01-01;23847156717270369;23847156717260369;23847156717320369;20.0;0.0;0.32;0;16;{country};"{""country"": ""MX""}";ios;MX
1755;2021-01-01;23847157133130369;23847157133120369;23847157133210369;14.54545455;3.03030303;0.48;1;33;{country};"{""country"": ""MX""}";ios;MX
1799;2021-01-01;23847157133130369;23847157133120369;23847157133210369;31.73333333;0.0;4.76;0;150;{country};"{""country"": ""AU""}";ios;AU
1825;2021-01-01;23847157133170369;23847157133180369;23847157133200369;3.50415512;0.69252078;2.53;5;722;{country};"{""country"": ""RU""}";android;RU
1913;2021-01-01;23847157133170369;23847157133180369;23847157133200369;12.5382263;0.0;8.2;0;654;{country};"{""country"": ""AU""}";android;AU
1939;2021-01-01;23847156717270369;23847156717260369;23847156717310369;14.11764706;0.0;0.24;0;17;{country};"{""country"": ""MX""}";ios;MX
1973;2021-01-01;23847156717270369;23847156717260369;23847156717310369;37.17647059;1.17647059;3.16;1;85;{country};"{""country"": ""AU""}";ios;AU
2009;2021-01-01;23847156717270369;23847156717260369;23847156717300369;13.75;0.0;0.22;0;16;{country};"{""country"": ""MX""}";ios;MX
2056;2021-01-01;23847156717270369;23847156717260369;23847156717300369;30.80188679;0.0;6.53;0;212;{country};"{""country"": ""AU""}";ios;AU
2085;2021-01-01;23847156717270369;23847156717260369;23847156717290369;15.0;0.0;0.12;0;8;{country};"{""country"": ""MX""}";ios;MX
